TRIP_ID,TRAVEL_TIME
T1,688.5656
T2,617.01483
T3,590.7344
T4,693.8098
T5,590.2297
T6,820.89636
T7,812.8392
T8,633.1549
T9,646.25037
T10,902.70233
T11,629.74976
T12,737.9732
T13,802.8414
T14,972.22656
T15,792.9722
T16,746.379
T17,681.59894
T18,802.5136
T19,811.94385
T20,518.3582
T21,698.49945
T22,790.0249
T23,561.4091
T24,727.8979
T25,783.18414
T26,793.43585
T27,1069.6394
T28,743.94977
T29,590.7569
T30,719.0604
T31,619.51544
T32,720.3056
T33,1016.6305
T34,729.07825
T35,773.1653
T36,694.17
T37,854.6077
T38,659.5655
T39,706.8079
T40,757.9232
T41,657.20294
T42,717.8428
T43,1040.3108
T44,827.0375
T45,686.8086
T46,683.84235
T47,749.1719
T48,814.84326
T49,658.0861
T50,689.5784
T51,725.3063
T52,581.7828
T53,730.05566
T54,639.2493
T55,629.1652
T56,587.8028
T57,804.5975
T58,640.7555
T59,1063.6792
T60,692.12506
T61,665.4339
T62,684.63586
T63,633.2112
T64,1126.7809
T65,736.1916
T66,922.21576
T67,521.6256
T68,562.93933
T69,1154.8934
T70,605.51587
T71,2666.8115
T72,848.9896
T73,671.7684
T74,862.5006
T75,718.018
T76,927.04016
T77,712.39044
T78,686.366
T79,1077.7673
T80,1067.0054
T81,806.7931
T82,702.4546
T83,762.49445
T84,1639.1052
T85,604.1299
T86,759.5736
T87,1056.8456
T88,623.05115
T90,647.038
T91,692.7802
T92,812.57007
T93,726.77155
T94,1392.0233
T95,1045.2611
T96,644.86957
T98,2632.8574
T99,1234.5049
T100,940.5089
T101,592.85175
T102,826.99066
T103,698.2985
T104,780.7595
T107,806.88635
T109,690.6828
T110,691.3944
T111,683.13873
T112,898.28314
T113,823.9625
T114,621.1829
T115,959.4469
T116,830.37335
T117,967.3897
T118,734.44495
T119,659.0779
T120,731.343
T121,1058.266
T122,789.58545
T123,673.7196
T124,693.0207
T125,641.2765
T126,698.34106
T127,852.6945
T128,774.08026
T129,931.05994
T130,585.6166
T131,4048.1064
T132,774.5952
T133,726.15765
T134,887.7246
T135,685.4755
T136,622.99664
T137,771.90784
T138,1424.9735
T139,833.7194
T140,878.5057
T141,1461.6984
T142,752.90045
T143,730.5859
T144,1153.6626
T145,643.5498
T146,925.73395
T147,592.2065
T148,593.7458
T149,1383.5483
T151,651.2786
T152,886.71136
T153,787.96234
T154,695.26953
T155,736.7712
T156,643.0938
T157,727.6425
T158,762.88043
T159,860.0632
T160,684.3331
T161,853.021
T162,694.71655
T163,833.0744
T164,971.83514
T166,970.85565
T167,822.5388
T168,1063.4937
T169,872.72986
T170,850.28107
T171,837.3671
T172,814.27106
T173,630.6706
T174,2215.1108
T175,748.39215
T176,945.3964
T177,941.1697
T178,875.6117
T179,719.83136
T180,913.565
T181,763.6082
T182,844.54596
T183,804.24536
T184,882.7012
T185,962.2338
T186,925.6878
T187,1027.3627
T188,1270.228
T189,850.3027
T190,750.14453
T191,831.52374
T192,657.8471
T193,1170.3282
T194,899.30646
T195,819.11865
T196,973.0556
T197,1220.5046
T198,786.8497
T199,619.8062
T200,871.8212
T201,972.6319
T202,909.06213
T203,791.72156
T204,1170.7755
T205,653.4946
T206,2300.1853
T207,802.1362
T208,3520.6277
T209,1339.3525
T210,733.0012
T211,943.13556
T212,815.6868
T213,736.5717
T214,849.6384
T215,822.0962
T216,862.4227
T217,1502.5398
T218,587.90784
T219,714.5711
T220,1530.909
T221,869.96576
T222,743.574
T223,673.3511
T224,727.64343
T225,826.32306
T226,848.23157
T227,1029.5812
T228,1582.2715
T229,1203.3512
T230,2078.2842
T231,853.91144
T232,764.70544
T233,658.4388
T234,1249.4187
T235,1063.853
T236,649.93854
T237,662.1032
T238,646.77454
T239,690.56744
T240,742.98224
T241,703.02594
T242,619.9499
T243,611.27264
T244,669.4365
T245,810.06915
T246,817.92487
T247,634.4983
T248,659.2833
T249,621.5907
T250,611.24316
T251,490.113
T252,626.10535
T253,741.12
T254,590.60516
T255,652.26935
T256,678.90173
T257,506.75073
T258,756.8075
T259,502.81412
T260,703.4325
T261,591.3462
T262,641.6347
T263,599.8452
T264,557.86224
T265,559.592
T266,987.2833
T267,546.8334
T268,526.0341
T269,720.8241
T270,695.8346
T271,707.51544
T272,579.80634
T273,592.2762
T274,634.6763
T275,722.0811
T276,684.3837
T277,640.2752
T278,825.2141
T279,679.867
T280,745.5965
T281,587.4228
T282,548.93774
T283,607.53754
T284,575.5568
T285,967.2023
T286,539.62537
T287,736.11646
T288,606.93146
T289,665.0378
T290,695.48627
T291,713.6342
T292,649.83844
T293,554.09186
T294,615.7816
T295,654.01355
T296,628.00653
T297,630.2433
T298,702.0247
T299,717.1423
T300,708.1767
T301,782.2818
T302,626.72943
T303,667.1664
T304,685.7618
T305,609.7889
T306,770.07336
T307,791.7592
T308,581.08673
T309,777.32556
T310,792.23035
T311,636.7153
T312,1339.811
T313,789.58984
T314,1532.8341
T315,1510.9006
T316,817.5619
T317,780.0577
T318,1169.3782
T319,826.86395
T320,690.21094
T321,687.46515
T322,627.0788
T323,725.6838
T324,936.52985
T325,932.56274
T326,732.13104
T327,688.319
