TRIP_ID,TRAVEL_TIME
T1,822.1472
T2,744.06445
T3,766.4366
T4,690.008
T5,736.7795
T6,804.99524
T7,773.9986
T8,757.03546
T9,780.6702
T10,767.1031
T11,648.88196
T12,914.4145
T13,753.0439
T14,1480.3424
T15,862.3718
T16,899.74475
T17,786.978
T18,1137.4034
T19,831.8091
T20,1004.6765
T21,815.29517
T22,827.1642
T23,703.4988
T24,886.7913
T25,700.5311
T26,762.373
T27,783.4175
T28,884.57605
T29,737.55304
T30,834.0717
T31,772.2933
T32,797.42346
T33,792.5055
T34,1017.5568
T35,970.8653
T36,867.9333
T37,877.9223
T38,692.2564
T39,833.107
T40,738.74615
T41,674.8267
T42,689.05505
T43,1306.0967
T44,776.2532
T45,677.66174
T46,592.3718
T47,715.78406
T48,731.0923
T49,615.7791
T50,634.7222
T51,898.80554
T52,720.2282
T53,647.7942
T54,845.9949
T55,791.4639
T56,646.6968
T57,765.11566
T58,632.325
T59,1245.7129
T60,784.9512
T61,799.57135
T62,866.5744
T63,711.71436
T64,923.5525
T65,737.26917
T66,816.67505
T67,780.8958
T68,689.2923
T69,846.9838
T70,568.0337
T71,1006.43225
T72,981.15625
T73,783.8867
T74,1119.7993
T75,773.21936
T76,958.7283
T77,682.27704
T78,894.6207
T79,942.4353
T80,1240.7095
T81,750.53436
T82,1024.295
T83,841.2382
T84,838.5852
T85,665.73865
T86,733.7968
T87,933.742
T88,856.9319
T90,677.2758
T91,747.61743
T92,853.03516
T93,690.2827
T94,1135.6815
T95,897.756
T96,656.9095
T98,1813.3754
T99,703.0973
T100,839.64056
T101,894.56964
T102,881.97046
T103,770.0584
T104,845.71094
T107,994.32574
T109,596.19867
T110,644.51013
T111,843.037
T112,807.1581
T113,685.85474
T114,903.414
T115,925.8654
T116,867.5893
T117,850.209
T118,637.34155
T119,644.1745
T120,782.4261
T121,871.6301
T122,692.98444
T123,743.3777
T124,694.6337
T125,677.93463
T126,778.7018
T127,722.8699
T128,721.0398
T129,755.52673
T130,616.8713
T131,684.60754
T132,729.6379
T133,781.1082
T134,798.9852
T135,601.62866
T136,563.34686
T137,773.12946
T138,684.2951
T139,968.35516
T140,814.2419
T141,1190.7084
T142,918.3238
T143,684.79767
T144,799.9376
T145,765.53845
T146,1258.6041
T147,604.5065
T148,813.818
T149,965.1355
T151,707.17334
T152,912.96375
T153,666.9387
T154,889.09375
T155,816.40283
T156,639.4913
T157,753.40607
T158,1109.759
T159,916.23303
T160,891.95197
T161,762.74426
T162,813.61005
T163,942.717
T164,823.2557
T166,759.4743
T167,899.0718
T168,1012.02856
T169,770.8215
T170,821.95215
T171,712.8024
T172,984.81024
T173,713.7141
T174,1063.0536
T175,939.8076
T176,1272.6034
T177,944.4016
T178,911.456
T179,791.4652
T180,740.28394
T181,831.94727
T182,883.3973
T183,1056.0942
T184,1004.054
T185,817.1512
T186,841.84094
T187,829.37006
T188,895.8548
T189,768.5112
T190,804.62726
T191,912.4745
T192,778.47577
T193,1520.0145
T194,1009.46857
T195,786.6401
T196,975.9978
T197,1709.6719
T198,940.49896
T199,672.86804
T200,933.22485
T201,899.9256
T202,1001.46954
T203,823.33356
T204,1387.1056
T205,689.77673
T206,1532.9639
T207,825.1894
T208,968.64276
T209,1028.9261
T210,827.13464
T211,1057.7753
T212,1709.0011
T213,784.6512
T214,854.67926
T215,855.32495
T216,851.5375
T217,1143.6073
T218,838.6291
T219,933.4982
T220,1451.7924
T221,747.5546
T222,1045.6937
T223,990.6016
T224,1174.4592
T225,762.63184
T226,798.52325
T227,919.72516
T228,1245.228
T229,1377.6185
T230,1013.1531
T231,903.98663
T232,864.7398
T233,737.10815
T234,1292.0516
T235,947.0175
T236,594.6997
T237,623.8072
T238,560.0543
T239,638.087
T240,647.83887
T241,594.73944
T242,669.6733
T243,526.0979
T244,656.4249
T245,613.5951
T246,675.48846
T247,522.1698
T248,568.6672
T249,651.3703
T250,473.7036
T251,661.57886
T252,557.5931
T253,640.4536
T254,584.41986
T255,581.8843
T256,761.4855
T257,593.8801
T258,522.23267
T259,661.51965
T260,847.96094
T261,656.8568
T262,546.4
T263,721.9649
T264,656.83386
T265,603.7824
T266,660.9571
T267,711.8707
T268,582.7099
T269,779.11554
T270,574.35614
T271,709.03296
T272,631.6798
T273,517.038
T274,619.61945
T275,593.4675
T276,528.92255
T277,859.1947
T278,626.3598
T279,665.9871
T280,596.4676
T281,434.6654
T282,656.6191
T283,526.0289
T284,510.25076
T285,1016.90393
T286,604.806
T287,590.56396
T288,604.43195
T289,548.2874
T290,552.9099
T291,537.81696
T292,644.7281
T293,655.6555
T294,587.6321
T295,657.4699
T296,641.33923
T297,572.4527
T298,587.85846
T299,843.9443
T300,785.3929
T301,1093.7122
T302,700.6598
T303,840.36786
T304,789.3384
T305,684.8158
T306,707.5241
T307,877.05975
T308,800.6061
T309,647.47046
T310,758.0136
T311,869.9235
T312,707.1914
T313,868.62616
T314,883.79297
T315,826.5594
T316,1159.0146
T317,865.271
T318,854.7531
T319,741.8001
T320,809.64417
T321,1092.6051
T322,779.9299
T323,627.1484
T324,640.6495
T325,919.1788
T326,777.76373
T327,714.3453
