TRIP_ID,TRAVEL_TIME
T1,887.6602
T2,884.40985
T3,887.6602
T4,887.66046
T5,879.99005
T6,933.1318
T7,887.6602
T8,933.1318
T9,886.89435
T10,887.6602
T11,873.5715
T12,948.6939
T13,948.6939
T14,948.6939
T15,948.6939
T16,948.6939
T17,948.6939
T18,948.6939
T19,887.6602
T20,948.6939
T21,887.6602
T22,933.1318
T23,933.1318
T24,887.6602
T25,871.3582
T26,856.11273
T27,887.6602
T28,887.6602
T29,866.41943
T30,887.6602
T31,887.6602
T32,884.40985
T33,948.6939
T34,948.6939
T35,948.6939
T36,948.6939
T37,933.1318
T38,879.78534
T39,887.6602
T40,887.821
T41,872.5363
T42,948.6939
T43,948.6939
T44,886.89435
T45,874.97577
T46,883.6512
T47,948.6939
T48,948.6939
T49,875.05414
T50,873.5715
T51,870.06976
T52,880.8453
T53,879.78534
T54,887.6602
T55,887.6602
T56,880.7659
T57,886.89435
T58,855.8708
T59,948.6939
T60,933.1318
T61,887.6602
T62,948.6939
T63,948.6939
T64,933.1318
T65,886.89435
T66,886.89435
T67,887.6602
T68,933.1318
T69,948.6939
T70,870.06976
T71,938.16766
T72,948.6939
T73,887.6602
T74,948.6939
T75,810.0135
T76,909.70764
T77,844.7183
T78,909.70764
T79,909.70764
T80,909.70764
T81,894.1455
T82,824.8553
T83,894.1455
T84,894.1455
T85,825.31744
T86,894.1455
T87,909.70764
T88,909.70764
T90,814.82196
T91,894.1455
T92,894.1455
T93,909.70764
T94,909.70764
T95,894.1455
T96,830.27277
T98,899.18146
T99,894.1455
T100,894.1455
T101,894.1455
T102,909.70764
T103,825.31744
T104,814.805
T107,909.70764
T109,845.4235
T110,845.4235
T111,894.1455
T112,843.2719
T113,825.7807
T114,814.805
T115,894.1455
T116,894.1455
T117,894.1455
T118,821.02545
T119,894.1455
T120,894.1455
T121,909.70764
T122,816.8846
T123,810.1342
T124,909.70764
T125,828.4024
T126,894.1455
T127,894.1455
T128,894.1455
T129,894.1455
T130,845.4235
T131,769.52594
T132,909.70764
T133,894.1455
T134,909.70764
T135,845.4235
T136,845.4235
T137,810.0135
T138,899.18146
T139,909.70764
T140,909.70764
T141,909.70764
T142,848.6739
T143,816.8846
T144,894.1455
T145,894.1455
T146,909.70764
T147,845.4235
T148,894.1455
T149,838.14777
T151,894.1455
T152,894.1455
T153,814.82196
T154,909.70764
T155,814.805
T156,810.2707
T157,894.1455
T158,899.1107
T159,914.67285
T160,899.1107
T161,914.67285
T162,828.5728
T163,848.2372
T164,899.1107
T166,850.38873
T167,853.63916
T168,899.1107
T169,914.67285
T170,899.1107
T171,821.8498
T172,899.1107
T173,845.7642
T174,904.14667
T175,899.1107
T176,914.67285
T177,845.96893
T178,827.873
T179,822.09174
T180,914.67285
T181,836.04865
T182,838.5152
T183,914.67285
T184,852.8732
T185,899.1107
T186,899.1107
T187,899.1107
T188,833.3676
T189,853.63934
T190,899.1107
T191,914.67285
T192,853.8
T193,914.67285
T194,899.1107
T195,846.7449
T196,853.63934
T197,904.14667
T198,899.1107
T199,841.03314
T200,899.1107
T201,914.67285
T202,848.2372
T203,914.67285
T204,914.67285
T205,841.03314
T206,904.14667
T207,833.3676
T208,850.7065
T209,899.1107
T210,814.9787
T211,914.67285
T212,914.67285
T213,845.31
T214,845.96893
T215,899.1107
T216,899.1107
T217,914.67285
T218,850.38873
T219,853.63934
T220,914.67285
T221,846.82416
T222,834.7824
T223,899.1107
T224,815.0994
T225,837.6117
T226,832.3984
T227,853.63916
T228,904.14667
T229,914.67285
T230,888.58453
T231,914.67285
T232,852.8732
T233,822.5606
T234,914.67285
T235,899.1107
T236,643.9976
T237,708.2817
T238,643.9976
T239,708.2817
T240,708.2817
T241,708.2817
T242,708.2817
T243,708.2817
T244,708.2817
T245,708.2817
T246,708.2817
T247,629.65753
T248,708.2817
T249,708.2817
T250,631.2745
T251,692.71954
T252,708.2817
T253,708.2817
T254,643.9976
T255,708.2817
T256,708.2817
T257,643.2924
T258,640.43304
T259,708.2817
T260,692.71954
T261,708.2817
T262,643.2924
T263,708.2817
T264,708.2817
T265,708.2817
T266,708.2817
T267,708.2817
T268,708.2817
T269,708.2817
T270,708.2817
T271,708.2817
T272,708.2817
T273,643.2924
T274,708.2817
T275,708.2817
T276,708.2817
T277,708.2817
T278,708.2817
T279,708.2817
T280,708.2817
T281,632.1241
T282,708.2817
T283,640.3537
T284,643.2924
T285,708.2817
T286,708.2817
T287,708.2817
T288,697.7555
T289,708.2817
T290,708.2817
T291,643.2924
T292,708.2817
T293,692.71954
T294,708.2817
T295,708.2817
T296,708.2817
T297,708.2817
T298,933.8333
T299,1007.6665
T300,1013.1568
T301,1028.719
T302,1013.1568
T303,940.03674
T304,1013.1568
T305,967.6855
T306,1028.719
T307,1028.719
T308,997.1403
T309,1018.19275
T310,1013.1568
T311,997.1403
T312,1013.1568
T313,1013.1568
T314,1013.1568
T315,1013.1568
T316,1028.719
T317,1013.1568
T318,925.7644
T319,1013.1568
T320,992.10443
T321,1018.19275
T322,1028.719
T323,1013.1568
T324,967.6855
T325,1028.719
T326,1013.1568
T327,1013.1568
